กอ	k ɔː
จิตร	c i t 1
เซรามิค	s eː . r aː . m i k 3
เชิงเส้น	c ʰ ɤː ŋ . s eː n 2
น่าสังเกต	n aː 2 . s a ŋ 4 . k eː t 1
สรัญญา	s a n 4 . j aː
ธุรการ	tʰ u 3 . r a 3 . k aː n
ควบคู่กันไป	kʰ uː a p 2 . kʰ uː 2 . k a n . p a j
สารตะกั่ว	s aː n 4 . t a 1 . k uː a 1
จัดวาง	c a t 1 . w aː ŋ
พลุ่ง	pʰ l u ŋ 2
ริ้น	r i n 3
เป็นต้นเหตุ	p e n . t o n 2 . h eː t 1
แสดงให้เห็น	s a 1 . d ɛː ŋ . h a j 2 . h e n 4
อาคารบ้านเรือน	ʔ aː . kʰ aː n . b aː n 2 . r ɯː a n
เบิล	b ɤː n
ผิดปรกติ	pʰ i t 1 . p r o k 1 . k a 1 . t i 1
เวิรด์	w ɤː n
ถูกวิธี	tʰ uː k 1 . w i 3 . tʰ iː
พนักงานประจำ	pʰ a 3 . n a k 3 . ŋ aː n . p r a 1 . c a m
ประจำตัว	p r a 1 . c a m . t uː a
สส	s o t 1
ใช้ได้	c ʰ a j 3 . d aː j 2
ซัลไฟด์	s a n . f a j
พะ	pʰ a 3
เวชกรรม	w eː t 2 . c ʰ a 3 . k a m
ค์	
ก็ดี	k ɔː 2 . d iː
มีราคา	m iː . r aː . kʰ aː
วิชาชีพ	w i 3 . c ʰ aː . c ʰ iː p 2
การสัมผัส	k aː n . s a m 4 . pʰ a t 1
ท์ช	
ลงมา	l o ŋ . m aː
ขึ้นอยู่กับ	kʰ ɯ n 2 . j uː 1 . k a p 1
เกน	k eː n
ทั้งที่	tʰ a ŋ 3 . tʰ iː 2
ลิด	l i t 3
ภาคพื้นดิน	pʰ aː k 2 . pʰ ɯː n 3 . d i n
ฟฟิว	f ɔː . f i w
ของดี	kʰ ɔː ŋ 4 . d iː
ช่วยชีวิต	c ʰ uː a j 2 . c ʰ iː . w i t 3
โฟ	f oː
พ	pʰ ɔː
เซ็ท	s e t 3
ส่งคืน	s o ŋ 1 . kʰ ɯː n
ประกาศใช้	p r a 1 . k aː t 1 . c ʰ a j 3
ผิดปกติ	pʰ i t 1 . p o k 1 . k a 1 . t i 1
กระทำการ	k r a 1 . tʰ a m . k aː n
งานใหญ่	ŋ aː n . j a j 1
ทวี	tʰ a 3 . w iː
เป็นตัวแทน	p e n . t uː a . tʰ ɛː n
การผลิต	k aː n . pʰ a 1 . l i t 1
ความถี่วิทยุ	kʰ w aː m . tʰ iː 1 . w i t 3 . tʰ a 3 . j u 3
กัทร	k a t 1 . tʰ a 3 . r ɔː
ค่าใช้จ่าย	kʰ aː 2 . c ʰ a j 3 . c aː j 1
การจัดเตรียม	k aː n . c a t 1 . t r iː a m
ชิ่ง	c ʰ i ŋ 2
เป็นอย่างมาก	p e n . j aː ŋ 1 . m aː k 2
ลำแสง	l a m . s ɛː ŋ 4
มาสู่	m aː . s uː 1
ผู้ดูแล	pʰ uː 2 . d uː . l ɛː
สกรีน	s a 1 . k r iː n
ผัวเมีย	pʰ uː a 4 . m iː a
ไฟต่ำ	f a j . t a m 1
คร่าว	kʰ r aː w 2
กริยาวลี	k r i 1 . j aː w . l iː
เป็นโรค	p e n . r oː k 2
เลเท็กซต์	l eː . tʰ e k 3 . s ɔː
อย่างมากมาย	j aː ŋ 1 . m aː k 2 . m aː j
อย่างลึกซึ้ง	j aː ŋ 1 . l ɯ k 3 . s ɯ ŋ 3
ลายเส้น	l aː j . s eː n 2
เป็นที่ยอมรับ	p e n . tʰ iː 2 . j ɔː m . r a p 3
ก๊าช	k aː t 3
ยิ่งขึ้น	j i ŋ 2 . kʰ ɯ n 2
แตสเซียมเฟอ	t ɛː t 1 . s iː a m . f ɤː
ษท	s o t 1
ระบบปิด	r a 3 . b o p 1 . p i t 1
ตามหน้าที่	t aː m . n aː 2 . tʰ iː 2
ที่ทำงาน	tʰ iː 2 . tʰ a m . ŋ aː n
ต้นเหตุ	t o n 2 . h eː t 1
ปรับเปลี่ยน	p r a p 1 . p l iː a n 1
อาณาบริเวณ	ʔ aː . n aː . b r i 1 . w eː n
เชิงการค้า	c ʰ ɤː ŋ . k aː n . kʰ aː 3
บัง	b a ŋ
โปรแกรมควบคุม	p r oː . k r ɛː m . kʰ uː a p 2 . kʰ u m
ทางใน	tʰ aː ŋ . n a j
เนาว	n a w . w ɔː
นกฮูก	n o k 3 . h uː k 2
ขยายเสียง	kʰ a 1 . j aː j 4 . s iː a ŋ 4
การเรียง	k aː n . r iː a ŋ
นาวิก	n aː . w i k 3
จัดกลุ่ม	c a t 1 . k l u m 1
ได้ดี	d aː j 2 . d iː
สั่งอาหาร	s a ŋ 1 . ʔ aː . h aː n 4
หน้าแล้ง	n aː 2 . l ɛː ŋ 3
เม้น	m eː n 3
จานแม่เหล็ก	c aː n . m ɛː 2 . l e k 1
ควบคู่	kʰ uː a p 2 . kʰ uː 2
สมดุล	s o m 4 . d u n
หยุดชะงัก	j u t 1 . c ʰ a 3 . ŋ a k 3
เข้าด้วยกัน	kʰ a w 2 . d uː a j 2 . k a n
ทรอ	tʰ r ɔː
ประเทศสหรัฐอเมริกา	p r a 1 . tʰ eː t 2 . s a 1 . h a 1 . r a t 3 . ʔ a 1 . m eː . r i 3 . k aː
ไพรี	pʰ a j . r iː
กรมศิลปากร	k r o m . s i n 4 . l a 3 . p aː . k ɔː n
มีความรู้	m iː . kʰ w aː m . r uː 3
ณา	n aː
พร้อมทั้ง	pʰ r ɔː m 3 . tʰ a ŋ 3
เงินสนับสนุน	ŋ ɤ n . s a 1 . n a p 1 . s a 1 . n u n 4
โล	l oː
ทุนเดิม	tʰ u n . d ɤː m
วิทยุโทรทัศน์	w i t 3 . tʰ a 3 . j u 3 . tʰ oː . r a 3 . tʰ a t 3
ตัวนำยิ่งยวด	t uː a . n a m . j i ŋ 2 . j uː a t 2
ว้นซ์	w o n 3
ประหยัดเวลา	p r a 1 . j a t 1 . w eː . l aː
การติดไฟ	k aː n . t i t 1 . f a j
สถาบันวิจัย	s a 1 . tʰ aː 4 . b a n . w i 3 . c a j
ฟิลิปส์	f i 3 . l i p 3
โครงการนำร่อง	kʰ r oː ŋ . k aː n . n a m . r ɔː ŋ 2
วงเล็บใหญ่	w o ŋ . l e p 3 . j a j 1
ต่อมา	t ɔː 1 . m aː
ช่วงนี้	c ʰ uː a ŋ 2 . n iː 3
บัฟเฟอร์	b a p 1 . f ɤː
ระยะเวลา	r a 3 . j a 3 . w eː . l aː
สิ่งจูงใจ	s i ŋ 1 . c uː ŋ . c a j
ไมโครอิเล็กทรอนิกส์	m a j . kʰ r oː . ʔ i 1 . l e k 3 . tʰ r ɔː . n i k 1
วิทยาศาสตร์ เทคโนโลยีและสิ่งแวดล้อม	w i t 3 . tʰ a 3 . j aː . s aː t 1 tʰ eː k 3 . n oː . l oː . j iː . l ɛ 3 . s i ŋ 1 . w ɛː t 2 . l ɔː m 3
เรีย	r iː a
วิธีการ	w i 3 . tʰ iː . k aː n
คนไทย	kʰ o n . tʰ a j
ภาษาไทย	pʰ aː . s aː 4 . tʰ a j
พอที่จะ	pʰ ɔː . tʰ iː 2 . c a 1
ภาคเหนือ	pʰ aː k 2 . n ɯː a 4
วิชัย	w i 3 . c ʰ a j
อัลก	ʔ a n . k ɔː
เครื่องใหญ่	kʰ r ɯː a ŋ 2 . j a j 1
ยูนิกซ์	j uː . n i k 3
ทำความเข้าใจ	tʰ a m . kʰ w aː m . kʰ a w 2 . c a j
ควันพิษ	kʰ w a n . pʰ i t 3
เก็บความ	k e p 1 . kʰ w aː m
ถุงพลาสติก	tʰ u ŋ 4 . pʰ a 3 . l aː . s a 1 . t i k 1
บิท	b i t 1
ศูนย์รวม	s uː n 4 . r uː a m
จำแนกแยกแยะ	c a m . n ɛː k 2 . j ɛː k 2 . j ɛ 3
ตกค้าง	t o k 1 . kʰ aː ŋ 3
เสกสรร	s eː k 1 . s a n 4
อย่างเพียงพอ	j aː ŋ 1 . pʰ iː a ŋ . pʰ ɔː
พันธุวิศวกรรม	pʰ a n . tʰ u 3 . w i t 3 . s a 1 . w a 3 . k a m
ธุรกิจเอกชน	tʰ u 3 . r a 3 . k i t 1 . ʔ eː k 1 . k a 1 . c ʰ o n
ตรวจร่างกาย	t r uː a t 1 . r aː ŋ 2 . k aː j
ออฟ	ʔ ɔː p 1
ตอบกลับ	t ɔː p 1 . k l a p 1
เสื่อมคุณภาพ	s ɯː a m 1 . kʰ u n . n a 3 . pʰ aː p 2
ทีละน้อย	tʰ iː . l a 3 . n ɔː j 3
พาหะ	pʰ aː . h a 1
ประยุกต์	p r a 1 . j u 3 . k ɔː
กัลยา	k a n . l a 3 . j aː
ความลึกซึ้ง	kʰ w aː m . l ɯ k 3 . s ɯ ŋ 3
การฉาย	k aː n . c ʰ aː j 4
เครื่องมือวัด	kʰ r ɯː a ŋ 2 . m ɯː . w a t 3
ไฟฟ้าแรงสูง	f a j . f aː 3 . r ɛː ŋ . s uː ŋ 4
ด้วยดี	d uː a j 2 . d iː
ปึง	p ɯ ŋ
ท้องที่	tʰ ɔː ŋ 3 . tʰ iː 2
หุ่นจำลอง	h u n 1 . c a m . l ɔː ŋ
ซ์	
ร่วมกัน	r uː a m 2 . k a n
สืบค้น	s ɯː p 1 . kʰ o n 3
สุ	s u 1
กว้างขวาง	k w aː ŋ 2 . kʰ w aː ŋ 4
สนธยา	s o n 4 . tʰ a 3 . j aː
จำนวนมาก	c a m . n uː a n . m aː k 2
พอเหมาะ	pʰ ɔː . m ɔ 1
กลับมา	k l a p 1 . m aː
ข้อน่าสังเกต	kʰ ɔː 2 . n aː 2 . s a ŋ 4 . k eː t 1
งานวัด	ŋ aː n . w a t 3
ใช้แล้ว	c ʰ a j 3 . l ɛː w 3
ส	s ɔː 4
ฮู	h uː
ชุมสายโทรศัพท์	c ʰ u m . s aː j 4 . tʰ oː . r a 3 . s a p 1
สคอ	s a 1 . kʰ ɔː
แผนภาพ	pʰ ɛː n 4 . pʰ aː p 2
เนคเทค	n eː k 3 . tʰ eː k 3
เตรียมการ	t r iː a m . k aː n
ใช้งาน	c ʰ a j 3 . ŋ aː n
ข้างมาก	kʰ aː ŋ 2 . m aː k 2
ฑูต	tʰ uː t 2
มากขึ้น	m aː k 2 . kʰ ɯ n 2
พัฒน	pʰ a t 3 . tʰ a 3 . n a 3
การขนส่ง	k aː n . kʰ o n 4 . s o ŋ 1
ผู้ให้บริการ	pʰ uː 2 . h a j 2 . b r i 1 . k aː n
ไชยา	c ʰ a j . j aː
เทอร์โม	tʰ ɤː . m oː
ล็อค	l ɔ k 3
บล็อค	b l ɔ k 1
เปล่งแสง	p eː . l o ŋ 2 . s ɛː ŋ 4
จัดงาน	c a t 1 . ŋ aː n
ชั้นสูง	c ʰ a n 3 . s uː ŋ 4
การรายงานผล	k aː n . r aː j . ŋ aː n . pʰ o n 4
ตี่	t iː 1
ความแน่นอน	kʰ w aː m . n ɛː 2 . n ɔː n
ห้างหุ้นส่วนจำกัด	h aː ŋ 2 . h u n 2 . s uː a n 1 . c a m . k a t 1
ลลู	l a 3 . l uː
มิได้	m i 3 . d aː j 2
บำรุงรักษา	b a m . r u ŋ . r a k 3 . s aː 4
ทุกครั้ง	tʰ u k 3 . kʰ r a ŋ 3
เชื่อมต่อ	c ʰ ɯː a m 2 . t ɔː 1
รู้เชิง	r uː 3 . c ʰ ɤː ŋ
งบประมาณแผ่นดิน	ŋ o p 3 . p r a 1 . m aː n . pʰ ɛ n 1 . d i n
จากนั้น	c aː k 1 . n a n 3
เทอร์โบ	tʰ ɤː . b oː
เฟอ	f ɤː
ประการหนึ่ง	p r a 1 . k aː n . n ɯ ŋ 1
วิน	w i n
กระทรวงมหาดไทย	k r a 1 . s uː a ŋ . m a 3 . h aː t 1 . tʰ a j
ดรรชนี	d a t 1 . c ʰ a 3 . n iː
การติดโรค	k aː n . t i t 1 . r oː k 2
เบี้ยประชุม	b iː a 2 . p r a 1 . c ʰ u m
ปรึกษาหารือ	p r ɯ k 1 . s aː 4 . h aː 4 . r ɯː
คำกริยา	kʰ a m . k r i 1 . j aː
ทซ์	tʰ ɔː
ล์ว	
ชดเชย	c ʰ o t 3 . c ʰ ɤː j
กริยาอกรรม	k r i 1 . j aː . ʔ a 1 . k a m
ถือเอา	tʰ ɯː 4 . ʔ a w
ภาษาราชการ	pʰ aː . s aː 4 . r aː t 2 . c ʰ a 3 . k aː n
มีส่วน	m iː . s uː a n 1
เหมือนกับ	m ɯː a n 4 . k a p 1
อย่างรีบด่วน	j aː ŋ 1 . r iː p 2 . d uː a n 1
โยกย้าย	j oː k 2 . j aː j 3
เป็นอิสระ	p e n . ʔ i t 1 . s a 1 . r a 1
สักครู่	s a k 1 . kʰ r uː 2
หัวใจสำคัญ	h uː a 4 . c a j . s a m 4 . kʰ a n
โดยส่วนใหญ่	d oː j . s uː a n 1 . j a j 1
วอร์	w ɔː
ผลดี	pʰ o n 4 . d iː
วตี้	w a 3 . t iː 2
พัธนี	pʰ a t 3 . n iː
แนวดิ่ง	n ɛː w . d i ŋ 1
สนามแม่เหล็ก	s a 1 . n aː m 4 . m ɛː 2 . l e k 1
ศูนย์ประสานงาน	s uː n 4 . p r a 1 . s aː n 4 . ŋ aː n
อย่างเฉียบพลัน	j aː ŋ 1 . c ʰ iː a p 1 . pʰ l a n
เหตุนี้	h eː t 1 . n iː 3
เจน	c eː n
ผนวก	pʰ a 1 . n uː a k 1
ปู่ย่าตายาย	p uː 1 . j aː 2 . t aː . j aː j
การนำพา	k aː n . n a m . pʰ aː
โปรแกรมย่อย	p r oː . k r ɛː m . j ɔː j 2
คลังสินค้า	kʰ l a ŋ . s i n 4 . kʰ aː 3
สถานศึกษา	s a 1 . tʰ aː n 4 . s ɯ k 1 . s aː 4
เขตร้อน	kʰ eː t 1 . r ɔː n 3
แต่ต้น	t ɛː 1 . t o n 2
ส่งกลับ	s o ŋ 1 . k l a p 1
สถาบันบัณฑิตพัฒนบริหารศาสตร์	s a 1 . tʰ aː 4 . b a n . b a n . d i t 1 . pʰ a t 3 . tʰ a 3 . n a 3 . b r i 1 . h aː n 4 . s aː t 1
อันต	ʔ a n . t a 1
ความเชื่อมั่น	kʰ w aː m . c ʰ ɯː a 2 . m a n 2
ติดค้าง	t i t 1 . kʰ aː ŋ 3
ตรงไหน	t r o ŋ . n a j 4
สิ้นสุดลง	s i n 2 . s u t 1 . l o ŋ
การสั่งซื้อ	k aː n . s a ŋ 1 . s ɯː 3
เป็นผง	p e n . pʰ o ŋ 4
มหาวิทยาลัยรามคำแหง	m a 3 . h aː 4 . w i t 3 . tʰ a 3 . j aː . l a j . r aː m . kʰ a m . h ɛː ŋ 4
ขดลวด	kʰ o t 1 . l uː a t 2
โปตัสเซียม	p oː . t a t 1 . s iː a m
ภาคตัดขวาง	pʰ aː k 2 . t a t 1 . kʰ w aː ŋ 4
ร์ฟัส	f a t 3
การบรรยาย	k aː n . b a n . j aː j
โดยสรุป	d oː j . s a 1 . r u p 1
การประมวลผล	k aː n . p r a 1 . m uː a n . pʰ o n 4
บนสุด	b o n . s u t 1
สเฟียร์	s ɔː 4 . f iː a
สอดคล้อง	s ɔː t 1 . kʰ l ɔː ŋ 3
ชาร์ท	c ʰ aː t 3
การประมวลผลข้อมูล	k aː n . p r a 1 . m uː a n . pʰ o n 4 . kʰ ɔː 2 . m uː n
ศาส	s aː t 1
ปัท	p a t 1 . tʰ a 3
ต้นปี	t o n 2 . p iː
ไดโอด	d a j . ʔ oː t 1
เพาะเลี้ยงสัตว์น้ำ	pʰ ɔ 3 . l iː a ŋ 3 . s a t 1 . n aː m 3
ภา	pʰ aː
นทิ	n a 3 . tʰ i 3
ทรู	s uː
ส่วนราชการ	s uː a n 1 . r aː t 2 . c ʰ a 3 . k aː n
ในขณะที่	n a j . kʰ a 1 . n a 1 . tʰ iː 2
วุด	w u t 3
นิวเคลียร์	n i w . kʰ l iː a
ดิ	d i 1
เปรื่อง	p r ɯː a ŋ 1
พงษ์	pʰ o ŋ
บี	b iː
ทั่วโลก	tʰ uː a 2 . l oː k 2
ดีน	d iː . n ɔː
ปฏิสัมพันธ์	p a 1 . t i 1 . s a m 4 . pʰ a n
ป่วยหนัก	p uː a j 1 . n a k 1
อาร์ค	ʔ aː k 1
ผลผลิต	pʰ o n 4 . pʰ a 1 . l i t 1
ฟอสเฟต	f ɔː . s a 1 . f eː t 2
ผู้เกี่ยวข้อง	pʰ uː 2 . k iː a w 1 . kʰ ɔː ŋ 2
นอกเหนือ	n ɔː k 2 . n ɯː a 4
พิษวิทยา	pʰ i t 3 . w i t 3 . tʰ a 3 . j aː
เอกสารอ้างอิง	ʔ eː k 1 . k a 1 . s aː n 4 . ʔ aː ŋ 2 . ʔ i ŋ
ประมาณค่า	p r a 1 . m aː n . kʰ aː 2
เท่าใด	tʰ a w 2 . d a j
มหาวิทยาลัยเกษตรศาสตร์	m a 3 . h aː 4 . w i t 3 . tʰ a 3 . j aː . l a j . k a 1 . s eː t 1 . s aː t 1
ต่างจังหวัด	t aː ŋ 1 . c a ŋ . w a t 1
ตัวต่อ	t uː a . t ɔː 1
แต่ละคน	t ɛː 1 . l a 3 . kʰ o n
เลี้ยงดู	l iː a ŋ 3 . d uː
คลื่นแม่เหล็กไฟฟ้า	kʰ l ɯː n 2 . m ɛː 2 . l e k 1 . f a j . f aː 3
จันทรา	c a n . tʰ r aː
เพียงแค่	pʰ iː a ŋ . kʰ ɛː 2
จนกระทั่ง	c o n . k r a 1 . tʰ a ŋ 2
ภาษาคอมพิวเตอร์	pʰ aː . s aː 4 . kʰ ɔː m . pʰ i w . t ɤː 2
กระทรวงเกษตรและสหกรณ์	k r a 1 . s uː a ŋ . k a 1 . s eː t 1 . l ɛ 3 . s a 1 . h a 1 . k ɔː n
ไตรภาคี	t r a j . pʰ aː . kʰ iː
แนวเขต	n ɛː w . kʰ eː t 1
เป็นสำคัญ	p e n . s a m 4 . kʰ a n
สัญญาณภาพ	s a n 4 . j aː n . pʰ aː p 2
รัดกุม	r a t 3 . k u m
อรทัย	ʔ ɔː n . tʰ a j
ส่งวิทยุ	s o ŋ 1 . w i t 3 . tʰ a 3 . j u 3
หน่วยราชการ	n uː a j 1 . r aː t 2 . c ʰ a 3 . k aː n
ประมวลผลข้อมูล	p r a 1 . m uː a n . pʰ o n 4 . kʰ ɔː 2 . m uː n
ปริมาณน้ำฝน	p a 1 . r i 3 . m aː n . n aː m 3 . f o n 4
ได้เสีย	d aː j 2 . s iː a 4
ผู้ขนส่ง	pʰ uː 2 . kʰ o n 4 . s o ŋ 1
การบรรเลง	k aː n . b a n . l eː ŋ
คาดคะเน	kʰ aː t 2 . kʰ a 3 . n eː
ห้องปฏิบัติการวิจัย	h ɔː ŋ 2 . p a 1 . t i 1 . b a t 1 . k aː n . w i 3 . c a j
ลท์	l ɔː
เล็งเห็น	l e ŋ . h e n 4
ภาคใต้	pʰ aː k 2 . t aː j 2
กำหนดให้	k a m . n o t 1 . h a j 2
เป็นส่วนใหญ่	p e n . s uː a n 1 . j a j 1
แบบนี้	b ɛː p 1 . n iː 3
เฉพาะเรื่อง	c ʰ a 1 . pʰ ɔ 3 . r ɯː a ŋ 2
บรรณ	b a n
ประเทศเนเธอร์แลนด์	p r a 1 . tʰ eː t 2 . n eː . tʰ ɤː . l ɛː n
ถึงตาย	tʰ ɯ ŋ 4 . t aː j
ปรากฎ	p r aː . k o t 1
คำปรึกษา	kʰ a m . p r ɯ k 1 . s aː 4
เลก	l eː k 2
ได้แก่	d aː j 2 . k ɛː 1
ผู้ร่วมงาน	pʰ uː 2 . r uː a m 2 . ŋ aː n
พันธุ	pʰ a n . tʰ u 3
ยกตัวอย่าง	j o k 3 . t uː a . j aː ŋ 1
ขึ้นไป	kʰ ɯ n 2 . p a j
เชื้อจุลินทรีย์	c ʰ ɯː a 3 . c u 1 . l i 3 . n o t 3 . r iː
เนื่องด้วย	n ɯː a ŋ 2 . d uː a j 2
นำเข้า	n a m . kʰ a w 2
เวอร์	w ɤː
จุดสูงสุด	c u t 1 . s uː ŋ 4 . s u t 1
ส่วนสูง	s uː a n 1 . s uː ŋ 4
เครื่องรับวิทยุ	kʰ r ɯː a ŋ 2 . r a p 3 . w i t 3 . tʰ a 3 . j u 3
ดิจิตอล	d i 1 . c i 1 . t ɔː n
เน็ท	n e t 3
อย่างมาก	j aː ŋ 1 . m aː k 2
ไฟสำรอง	f a j . s a m 4 . r ɔː ŋ
ล้วน	l uː a n 3
คณะวิศวกรรมศาสตร์	kʰ a 3 . n a 3 . w i t 3 . s a 1 . w a 3 . k a m . s aː t 1
ทางราชการ	tʰ aː ŋ . r aː t 2 . c ʰ a 3 . k aː n
เป็นลำดับ	p e n . l a m . d a p 1
กรรมการผู้จัดการ	k a m . m a 3 . k aː n . pʰ uː 2 . c a t 1 . k aː n
วิชาการ	w i 3 . c ʰ aː . k aː n
ขยายความ	kʰ a 1 . j aː j 4 . kʰ w aː m
ชาร์ต	c ʰ aː t 2
บางแห่ง	b aː ŋ . h ɛ ŋ 1
ไฟไหม้	f a j . m a j 2
จางหาย	c aː ŋ . h aː j 4
ส่วนสำคัญ	s uː a n 1 . s a m 4 . kʰ a n
ได้มาตรฐาน	d aː j 2 . m aː t 2 . t r a 1 . tʰ aː n 4
เท่าที่ควร	tʰ a w 2 . tʰ iː 2 . kʰ uː a n
ปฎิบัติ	p a 1 . t i 1 . b a t 1
แนบท้าย	n ɛː p 2 . tʰ aː j 3
มุ่งเน้น	m u ŋ 2 . n eː n 3
ปฎิกิริยา	p a 1 . t i 1 . k i 1 . r i 3 . j aː
คำบุพบท	kʰ a m . b u p 1 . pʰ a 3 . b o t 1
เปลี่ยนเป็น	p l iː a n 1 . p e n
ภาคพื้น	pʰ aː k 2 . pʰ ɯː n 3
สตัล	s a 1 . t a n
ภาคอุตสาหกรรม	pʰ aː k 2 . ʔ u t 1 . s aː 4 . h a 1 . k a m
ผสมผสาน	pʰ a 1 . s o m 4 . pʰ a 1 . s aː n 4
คลุกเคล้า	kʰ l u k 3 . kʰ l a w 3
การฝึกฝน	k aː n . f ɯ k 1 . f o n 4
ปาสคาล	p aː t 1 . kʰ aː l
เพล็ก	pʰ a 3 . l e k 3
เช่นกัน	c ʰ eː n 2 . k a n
ตัวสะกด	t uː a . s a 1 . k o t 1
มาจาก	m aː . c aː k 1
บริษัทเงินทุน	b r i 1 . s a t 1 . ŋ ɤ n . tʰ u n
จัดตั้ง	c a t 1 . t a ŋ 2
การสงวน	k aː n . s a 1 . ŋ uː a n 4
กลุ่มเป้าหมาย	k l u m 1 . p a w 2 . m aː j 4
เคิล	kʰ ɤː n
โรคมะเร็ง	r oː k 2 . m a 3 . r e ŋ
รังสีแพทย์	r a ŋ . s iː 4 . pʰ ɛː t 2
โม	m oː
โดยรอบ	d oː j . r ɔː p 2
เวกเตอร์	w eː k 2 . t ɤː 2
แพ็ค	pʰ ɛ k 3
เป็นรายบุคคล	p e n . r aː j . b u k 1 . kʰ o n
ซีดีรอม	s iː . d iː . r ɔː m
รพา	r a 3 . pʰ aː
การเกษตร	k aː n . k a 1 . s eː t 1
เฮิรทซ์	h ɤː t 2
แบบสร้าง	b ɛː p 1 . s aː ŋ 2
โดยปรกติ	d oː j . p r o k 1 . k a 1 . t i 1
ไฟฟ้ากระแสตรง	f a j . f aː 3 . k r a 1 . s ɛː 4 . t r o ŋ
ดวงจันทร์	d uː a ŋ . c a n
องศาเซลเซียส	ʔ o ŋ . s aː 4 . s eː l . s iː a t 2
ตั้งโต๊ะ	t a ŋ 2 . t o 3
ส่งผ่าน	s o ŋ 1 . pʰ aː n 1
อุปกรณ์ควบคุม	ʔ u p 1 . p a 1 . k ɔː n . kʰ uː a p 2 . kʰ u m
มีแผน	m iː . pʰ ɛː n 4
ขอบเขต	kʰ ɔː p 1 . kʰ eː t 1
การประสานงาน	k aː n . p r a 1 . s aː n 4 . ŋ aː n
สาขาวิชา	s aː 4 . kʰ aː 4 . w i 3 . c ʰ aː
อย่างจริงจัง	j aː ŋ 1 . c i ŋ . c a ŋ
ให้สัญญาณ	h a j 2 . s a n 4 . j aː n
ผู้ถูกกระทำ	pʰ uː 2 . tʰ uː k 1 . k r a 1 . tʰ a m
เร่งรัด	r e ŋ 2 . r a t 3
ทุกแห่ง	tʰ u k 3 . h ɛ ŋ 1
ในสังกัด	n a j . s a ŋ 4 . k a t 1
คัดเลือก	kʰ a t 3 . l ɯː a k 2
มัธยมศึกษาตอนปลาย	m a t 3 . tʰ a 3 . j o m . s ɯ k 1 . s aː 4 . t ɔː n . p l aː j
อย่างนั้น	j aː ŋ 1 . n a n 3
พัลส์	pʰ a n
สาระสังเขป	s aː 4 . r a 3 . s a ŋ 4 . kʰ eː p 1
ไม่สม่ำเสมอ	m a j 2 . s a 1 . m a m 1 . s a 1 . m ɤː 4
ตรงหน้า	t r o ŋ . n aː 2
การสำรวจ	k aː n . s a m 4 . r uː a t 1
ผู้สังเกตการณ์	pʰ uː 2 . s a ŋ 4 . k eː t 1 . k aː n
ไม่เสร็จ	m a j 2 . s e t 1
ผู้ปฏิบัติงาน	pʰ uː 2 . p a 1 . t i 1 . b a t 1 . ŋ aː n
กราว	k r aː w
ได้เรื่อง	d aː j 2 . r ɯː a ŋ 2
บัตรอวยพร	b a t 1 . ʔ uː a j . pʰ ɔː n
ครั้งแรก	kʰ r a ŋ 3 . r ɛː k 2
ต่อไปนี้	t ɔː 1 . p a j . n iː 3
การประเมินผล	k aː n . p r a 1 . m ɤː n . pʰ o n 4
ที่สูง	tʰ iː 2 . s uː ŋ 4
เงินบาท	ŋ ɤ n . b aː t 1
ภิญโญ	pʰ i n . j oː
จุฬาลงกรณ์	c u 1 . l aː . l o ŋ . k ɔː n
ไม่สำเร็จ	m a j 2 . s a m 4 . r e t 1
เอาท์พุต	ʔ a w . pʰ u t 3
ทธิ	tʰ a 3 . tʰ i 3
คิดผิด	kʰ i t 3 . pʰ i t 1
อิค	ʔ i k 1
หมุนรอบ	m u n 4 . r ɔː p 2
ความก้าวหน้า	kʰ w aː m . k aː w 2 . n aː 2
ทำหน้าที่	tʰ a m . n aː 2 . tʰ iː 2
ลงบัญชี	l o ŋ . b a n . c ʰ iː
สิ่งใหม่	s i ŋ 1 . m a j 1
ที่ตั้ง	tʰ iː 2 . t a ŋ 2
มีบทบาท	m iː . b o t 1 . b aː t 1
การแพทย์	k aː n . pʰ ɛː t 2
วต	w o t 3
รวมทั้งหมด	r uː a m . tʰ a ŋ 3 . m o t 1
ขณะเดียวกัน	kʰ a 1 . n a 1 . d iː a w . k a n
หกร้อย	h o k 1 . r ɔː j 3
ยังคง	j a ŋ . kʰ o ŋ
ผู้อำนวยการ	pʰ uː 2 . ʔ a m . n uː a j . k aː n
โดยสะดวก	d oː j . s a 1 . d uː a k 1
น้ำอุ่น	n aː m 3 . ʔ u n 1
ข้อเปรียบเทียบ	kʰ ɔː 2 . p r iː a p 1 . tʰ iː a p 2
เกษตรศาสตร์	k a 1 . s eː t 1 . s aː t 1
ไปหา	p a j . h aː 4
แส	s ɛː 4
รับทุน	r a p 3 . tʰ u n
ชีว	c ʰ iː . w a 3
รับมอบหมาย	r a p 3 . m ɔː p 2 . m aː j 4
การธนาคาร	k aː n . tʰ a 3 . n aː . kʰ aː n
หน้าแข้ง	n aː 2 . kʰ ɛ ŋ 2
การอบรม	k aː n . ʔ o p 1 . r o m
บร	b o n
ประสิทธิ	p r a 1 . s i t 1 . tʰ i 3
พีวีซี	pʰ iː . w iː . s iː
บุกเบิก	b u k 1 . b ɤː k 1
สาธิต	s aː 4 . tʰ i t 3
แดนซ์	d ɛː n
