1_100_104_1	โครงสร้าง จุล ภาพ พื้นผิว   ผิว ชุบ เคลือบ ทองแดง แบบ ไม่ ใช้ ไฟฟ้า   เมื่อ เติม ไพรี ดีน   แสดง ดัง ไมโคร กราฟ รูป ที่   สิบ
1_75_55_3	มี ความยืดหยุ่น ระดับ กลาง เบอร์   หนึ่งร้อย แปดสิบ
1_75_55_6	การ ทำ มาร์ค สกรีน วิธี นี้ จะ ได้ ต้นแบบ มาร์ค ที่ มี ความ คมชัด   เหมาะ เป็นต้นแบบ สำหรับ งานวิจัย ผลิต มาร์ค สกรีน ได้ รวดเร็ว   และ ไม่มี ขั้นตอน ยุ่งยาก ใน การผลิต
1_75_56_3	ได้ พิมพ์ ครีม โดย วิธีการ สกรีน
1_75_56_4	จะ ทำการ พิมพ์ ครีม ตัวนำ ที่ มี องค์ประกอบ ของ โลหะ
1_75_57_10	เพื่อให้ โลหะ และ โลหะ ออกไซด์ เกิด การ สม ดุลย์ และ ยึด แน่น กับ ฐาน เซรามิค
1_75_57_3	ทำให้ ครีม ตัวนำ แกะ ยึด แน่น บน ฐาน เซรามิค   โดย การ ใช้ เตา ความร้อน อุณหภูมิ สูง
1_75_59_2	การ ติด อุปกรณ์ ตัว ความต้านทาน   คา ปา ซิ ส เต อร ์   และ ไอซี   จะ ใช้ เครื่อง ดูด ตัว อุปกรณ์ ด้วย วิธี สุญญากาศ นำ ตัว อุปกรณ์ ติดตั้ง   ใน ตำแหน่ง ของ อุปกรณ์ ใน ลวดลาย วง จรบน ฐาน รอง เซรามิค
1_75_60_2	ขั้น ตอนนี้ จะ ทำให้ ครีม เชื่อม มี สภาพ เป็น ตัวนำ ไฟฟ้า ที่ ดี   ระหว่าง ตัว อุปกรณ์ กับ ลวดลาย วงจร ตัวนำ
1_75_64_11	ดังนั้น ถ้า จะ ให้การ สร้าง ชั้น ฟิล์ม หนา ได้ คุณสมบัติ ที่ ต้องการ   ควร ใช้ เตาไฟ ริ่ง ชนิด สายพาน ใน กระบวนการ สร้าง ของ วงจร รวม แบบ ไฮ บริดจ์
1_75_64_6	ซึ่ง เตาเผา ดังกล่าว   ไม่มี ความเหมาะสม ที่ ใช้ ใน การ สร้าง ชั้น ฟิล์ม หนา เท่าที่ควร
1_75_64_8	การใช้งาน เตาเผา ได้ ใช้ คน ควบคุม ความเร็ว แผ่น ชิ้นงาน เซรามิค
1_75_66_1	งบประมาณ ใน การวิจัย นี้   ได้รับ การ สนับสนุน จาก   ศูนย์ เทคโนโลยี อิเลค ทรอ นิ กส์ และ คอมพิวเตอร์ แห่งชาติ   กระทรวง วิทยาศาสตร์ เทคโนโลยี และ การ พลังงาน   ซึ่ง คณะ ผู้วิจัย ขอ ขอบคุณ มา   ณ   ที่ นี้
1_75_68_1	หนึ่ง   สม ศักดิ์   เชียร์ ศิ ริ กุล   ธัญ ญะ   ศักดิ์ โส ภิษฐ์   สม เกียรติ   ศุภ เดช   การ   พัฒนา ท ราน ส ดิ ว เซอร์ ความดัน แบบ เปีย โซ รี ซิ ส ทีป เพื่อ ประยุกต์ ใช้งาน ทาง ด้าน การแพทย์    วารสาร การประชุม วิชาการ ทาง วิศวกรรมไฟฟ้า   เก้า   สถาบัน อุดมศึกษา   ครั้ง ที่ สิบสอง   พุทธศักราช สอง พัน ห้า ร้อย สาม สิบสอง
1_75_7_1	ปัจจุบัน เทคโนโลยี ของ ไฮ บริดจ์   ได้ มี การพัฒนา อย่างรวดเร็ว   และ มี ความเหมาะสม ที่จะ สร้าง เป็น วงจร รวม ซึ่ง มี คุณสมบัติ เฉพาะ อย่าง
1_75_7_2	ดังนั้น จึง ได้ ทำ การพัฒนา เทคโนโลยี   สำหรับ สร้าง ท ราน ส ดิ ว เซอร์ แรงดัน วงจร รวม แบบ ไฮ บริดจ์ ขึ้น
1_75_7_6	เพื่อให้ ครีม ตัวนำ ยึด เกาะ กับ ฐาน รอง เซรามิค
1_77_2_1	การ ดำเนินงาน ของ ศูนย์ เทคโนโลยี อิเล็กทรอนิกส์ และ คอมพิวเตอร์ แห่งชาติ   ใน ระยะเวลา ที่ผ่านมา นั้น   นับว่า ประสบความสำเร็จ ใน การ สนับสนุน งาน วิจัยและพัฒนา   ที่ ก่อให้เกิด ประโยชน์ ต่อ การพัฒนา ด้าน อิเล็กทรอนิกส์ และ คอมพิวเตอร์
1_77_2_4	จึง ถือเป็น ความก้าวหน้า ของ การ วิจัยและพัฒนา ด้าน อิเล็กทรอนิกส์ และ คอมพิวเตอร์   ที่อยู่ ใน ระดับ น่าพอใจ   โดยเฉพาะ งานวิจัย ที่ มี การ ประสาน ร่วมมือ ใน ลักษณะ ไตรภาคี   ที่ มี ภาคเอกชน ร่วม งานวิจัย อย่างจริงจัง และ จริงใจ
1_77_2_8	ใน โอกาส นี้   จึง ขอแสดงความยินดี ใน ความสำเร็จ อัน น่าภาคภูมิใจ ของ นักวิจัย ไทย   ภาคเอกชน ที่ ให้ความร่วมมือ   และ ศูนย์ เทคโนโลยี อิเล็กทรอนิกส์ และ คอมพิวเตอร์ แห่งชาติ   รวมทั้ง ผู้ ที่ เกี่ยวข้อง ทุกท่าน   ซึ่ง คงจะ ได้ ร่วม ประสานงาน กัน   เพื่อ นำไปสู่ การพัฒนา เทคโนโลยี ก้าว ใหม่ ใน โอกาส ต่อไป
1_78_14_1	ใน งานวิจัย เรื่อง การรู้จำ ตัวอักษร ที่ผ่านมา   มี การ นำเสนอ วิธีการ ที่ ใช้ ใน การ พยายาม ทำให้ เครื่องคอมพิวเตอร์ สามารถ รู้   และ จดจำ ว่า ตัวอักษร ที่อยู่ บน หน้า กระดาษ เป็น ตัวอักษร อะไร
1_78_14_3	วิธีการ ต่าง ต่าง   ที่ ยก เป็น ตัวอย่าง ข้างต้น   มีประสิทธิภาพ ใน การรู้จำ ที่ แตก ต่างกัน ออก ไป   ขึ้นกับ รูปแบบ ของ ข้อมูล ตัวอักษร ที่ ใช้
1_78_14_4	ดังนั้น หาก มี ขบวนการ อีก ขั้นตอน หนึ่ง เพิ่มเติม ขึ้น   เพื่อ ทำหน้าที่ จัด แยก แบ่งกลุ่ม รูปแบบ ข้อมูล ที่ มี อยู่ เสีย ก่อน   เช่น   จัด แยก ว่า ตัวอักษร นี้ เป็น ตัวอักษร ภาษาไทย   เป็น ตัวอักษร ภาษาอังกฤษ   หรือ ตัวเลข
1_78_14_5	เมื่อ จัด แยก เป็น กลุ่ม ได้ แล้ว   จึง ค่อย ส่ง ต่อให้ ส่วน ของ การรู้จำ ไป ยัง วิธีการ ที่ เหมาะสม   และ ให้ ประสิทธิภาพ สูงสุด ใน การรู้จำ ข้อมูล ตัวอักษร นั้น นั้น
1_78_19_2	โดย มี เงื่อนไข ของ จุด ที่จะ เป็น ขอบ ว่า   อย่างน้อย   หนึ่ง   ใน จุด ที่ ติดกัน จะ ต้อง เป็นพื้น ขาว   และ เป็น ส่วนหนึ่ง ของ ภาพ ตัว มัน เอง
1_78_48_1	สาม   การ หา รูปแบบมาตรฐาน ที่ เป็นตัวแทน กลุ่ม
1_78_49_2	โดย อาศัย ไอ เกน เวค เต อร ์ ที่เกิด จาก การ กระจาย แบบ คาร์ ฮู แนน   โล บ ของ อักษร แต่ละ ตัว   มา พิจารณา หา รูปแบบมาตรฐาน
1_78_49_4	ซึ่ง จะ ขอ กล่าว ใน รายละเอียด ของ การ กระจาย แบบ คาร์ ฮู แนน   โล บ ก่อน ดังนี้
1_78_55_1	ไอ เกน เวค เต อร ์ ที่ มีค่า ไอ เกน สูงสุด   จะ ถูก กำหนดให้ เป็น ส่วนประกอบ หลัก   สามารถ กล่าว ได้ ว่า เป็น รูปแบบมาตรฐาน   ของ แต่ละ กลุ่ม ของ ตัวอักษร ซึ่ง จะ ถูก นำมาใช้ เป็น พจนานุกรม ของ การ แยกแยะ
1_78_56_1	รูปแบบ ตัวอักษร ใน แต่ละ กลุ่ม จะ ถูก แปลง ด้วย การ กระจาย คาร์ ฮู แนน   โล บ   ซึ่ง จะ ได้ รูปแบบมาตรฐาน ของ แต่ละ รูปแบบ ตัวอักษร ของ แต่ละ กลุ่ม
1_78_63_1	เมตริกซ์ ที่จะ นำมาใช้ คำ นว น หา ค่า ไอ เกน และ ไอ เกน เวค เต อร ์   สามารถ คำ นว น หา ได้ ดัง สมการ ต่อไปนี้
1_78_64_2	เรา สามารถ กล่าว ได้ ว่า รูปแบบมาตรฐาน ของ กลุ่ม ตัวอักษร ที่ ไอ เกน เวค เต อร ์   ให้ ค่า ไอ เกน สูงสุด   คำ นว น หา ได้ จาก สมการ
1_78_6_2	และ เมื่อ พิจารณา ถึง ข้อมูล เอกสาร ที่จะ นำมา ให้ เครื่องคอมพิวเตอร์   สำหรับ การรู้จำ ใน หนึ่ง หน้า เอกสาร   ซึ่ง อาจจะ ประกอบ ไป ด้วย ตัวอักษร หลาย รูปแบบ และ ขนาดที่ ต่างกัน   ทั้ง อักษร ภาษาไทย   อักษร ภาษาอังกฤษ   ตัวเลข   รูปภาพ กราฟิค
1_78_6_4	ข้อมูล ใน หลาย หลาย   รูปแบบ ดังที่ได้กล่าวมาแล้ว ข้างต้น   จะ ต้อง ถูก แยกแยะ และ จัด เป็น กลุ่ม กลุ่ม   เสีย ก่อน
1_78_71_1	ถ้า เรา กำหนดให้ ตัวอักษร หนึ่ง เป็น รูปแบบมาตรฐาน ของ กลุ่ม ตัวอักษร   และ ให้ ตัวอักษร อื่น เป็น รูปแบบ ที่ ต้องการ หา ความเหมือน
1_78_73_5	รูปแบบ ตัวอักษร ที่ ทราบ ว่า เป็น รูปแบบ ตัวอักษร ใน กลุ่ม ใด   ก็ จะ ถูก ส่ง ต่อไป ให้ กับ ขบวนการ วิเคราะห์ ของ ส่วน ของ การรู้จำ   ทำ การรู้จำ ด้วย วิธีการ ที่ เหมาะสม กับ รูปแบบ ตัวอักษร นั้น นั้น   ต่อไป
1_78_75_2	พิจารณา รูปแบบ ตัวอักษร จะ เห็น ว่า ตัวอักษร ทั้งหมด สามารถ แบ่ง ออก เป็น   สี่   กลุ่ม ใหญ่ ใหญ่   คือ   กลุ่ม ตัวอักษร ภาษาไทย   กลุ่ม ตัวอักษร ภาษาอังกฤษ ตัวพิมพ์ ใหญ่   กลุ่ม ตัวอักษร ภาษาอังกฤษ ตัวเขียน เล็ก   และ กลุ่ม ตัวเลข
1_78_75_3	การทดลอง กระทำ กับ รูปแบบ ของ ตัวอักษร เพียง กลุ่ม ละ หนึ่ง ฟอนต์   และ ตาราง ค่า ความเหมือน ของ แต่ละ รูปแบบ ตัวอักษร แสดง ได้ ดัง ตาราง ที่สอง
1_78_77_2	ผล ที่ ได้ พอที่จะ ใช้ ใน การ แยก   และ จัดกลุ่ม รูปแบบ ตัวอักษร ได้ดี สมควร   และ การวิจัย ใน ขั้นตอน ต่อไป
1_78_7_2	โดย แยก ออก ตาม ลักษณะ ฟอนต์ ตัวอักษร ทั้ง ภาษาไทย และ ภาษาอังกฤษ   ตัวเลข   รูปภาพ กราฟิค   และ ช่อง ตาราง ที่ มี ทั้ง ข้อความ และ ตัวเลข บรรจุ อยู่
1_78_7_3	โดย จะ กล่าว เน้น ใน ส่วน ของ การ แบ่งแยก จัดกลุ่ม ของ ข้อมูล ตัวอักษร หลาย หลาย   รูปแบบ ว่า   ข้อมูล ตัวอักษร นั้น เป็น ตัวอักษร ภาษาไทย   ภาษาอังกฤษ   หรือ ตัวเลข
1_78_80_1	รูป ที่สาม   โฟลว์ ชาร์ต การ คำ นว น จาก ขนาด ความ กว้าง ความสูง ของ ตัวอักษร   รูป ที่สี่   ภาพ ตัวอักษร ที่ จัดเก็บ
1_79_2_5	ซึ่ง ศูนย์ เทคโนโลยี อิเล็กทรอนิกส์ และ คอมพิวเตอร์ แห่งชาติ   ได้ ดำเนินงาน ที่ สอดคล้อง กับ นโยบาย ดังกล่าว มาโดยตลอด
1_79_3_9	โดย ได้ ฝึกอบรม และ บริการ เทคโนโลยี การ ออกแบบ ด้วย คอมพิวเตอร์ ใน ระดับ พื้นฐาน   ระดับ ล่าง   และ ระดับสูง แก่ บุคลากร ของ มหาวิทยาลัย   กระทรวง วิทยาศาสตร์   และ หน่วยงาน อื่น ที่ เกี่ยวข้อง ทั้ง ภาครัฐบาล และ ภาคเอกชน ไป แล้ว จำนวน หลาย รุ่น
1_7_5_1	ผู้อำนวยการ กอง งบประมาณ ฝ่าย เศรษฐกิจ   สาม   สำนักงบประมาณ   กรรมการ
1_82_10_2	สำหรับ ใน บทความ นี้ จะ อธิบาย ผลงาน ที่ ได้ ดำเนิน มา ใน ปีงบประมาณ   สอง พัน ห้า ร้อย สามสิบ สาม   เป็นสำคัญ
1_82_13_1	เมื่อ วัน ที่สาม   เมษายน   สอง พัน ห้า ร้อย สามสิบ สี่   นายกรัฐมนตรี   พะ นะ ท่าน   นายอานันท์ ปันยารชุน   ใน โอกาส ที่มา เยี่ยม กระทรวง วิทยาศาสตร์ เทคโนโลยี และ การ พลังงาน   ได้ ทำพิธี เปิด สำนักงาน ใหม่ ของ ศูนย์ เทคโนโลยี อิเล็กทรอนิกส์ และ คอมพิวเตอร์ แห่งชาติ   ที่ ชั้น   เจ็ด   ของ อาคาร สำนักงานปลัดกระทรวง
1_82_15_1	ด้าน การพัฒนา คอมพิวเตอร์ ซอฟท์แวร์   ได้ ประสานงาน กับ สำนักงาน มาตรฐานอุตสาหกรรม   สอ มอ ออ   และ ทาง ภาคเอกชน ได้ จัดตั้ง คณะทำงาน   เพื่อ จัดทำ   ข้อกำหนด ร่วม เพื่อ การเขียน โปรแกรม แสดงผล เป็น ภาษาไทย   หรือ เรียก สั้น สั้น   ว่า   วอ ทอ ทอ สอง จุด ศูนย์
1_82_15_4	โดย การ จัดทำ ข้อแนะนำ เกี่ยวกับ รหัส สำหรับ อักขระ ไทย ผสม   และ สัญญลักษณ์ สำหรับ การ ตี ตาราง เครื่องพิมพ์ แบบ จุด   เรียก ตาม ภาษาราชการ ว่า   รหัส ตาม มาตรฐาน   มอ ออ กอ   เก้า แปด แปด ขีด สอง พัน ห้า ร้อย สามสิบ สาม   ขึ้น
1_82_16_4	สามารถ ให้ เครื่อง หมุน ทวน ซ้ำ หมาย เลขที่ พยายาม ติดต่อ ครั้งสุดท้าย ได้
1_82_16_5	สามารถ ป้องกัน คลื่นวิทยุ ที่ ปกติ จะ เข้าไป กวน ใน โทรศัพท์ ได้
1_82_16_6	สามารถ ปรับระดับ ความดัง ของ เสียงพูด โดยอัตโนมัติ ให้ อยู่ ใน ระดับ ที่ ปรารถนา ได้
1_82_16_7	นอกจากนี้ ผู้ใช้ สามารถ พูด ได้ โดย ไม่ต้อง ยก หูโทรศัพท์
1_82_17_2	ได้ มี การสาธิต ต้นแบบ ที่ กรุง โตเกียว   เมื่อ เดือน พฤศจิกายน   สอง พัน ห้า ร้อย สามสิบ สาม   และ คาด ว่า จะ มา สาธิต ใน ประเทศไทย   ประมาณ เดือน ตุลาคม   สอง พัน ห้า ร้อย สามสิบ สี่   ได้
1_82_17_6	ทั้งนี้ เพื่อ เป็น พจนานุกรม   ที่ ทำให้ นักเขียน หรือ ผู้ใช้ ภาษา สามารถ เลือก ใช้ คำ ได้ มากขึ้น   ทั้ง ใน รูปแบบ ที่ เป็น หนังสือ และ อยู่ ใน รูป สื่อ อิเล็กทรอนิกส์ อื่น อื่น   ด้วย
1_82_18_5	ทั้งนี้   ได้ มี พิธี เปิด โดย รัฐมนตรี ว่าการ กระทรวง วิทยาศาสตร์ เทคโนโลยี และ การ พลังงาน   พะ นะ ท่าน   นาย สง่า   สรรพ ศรี   เมื่อ วันที่ ยี่สิบ สี่   สิงหาคม   สอง พัน ห้า ร้อย สามสิบ สี่   นี้
1_82_19_1	โครงการ เครือข่าย คอมพิวเตอร์ นั้น   ได้ ดำเนินการ จัดหา อุปกรณ์ แล้ว   สำหรับ การ เชื่อมโยง ศูนย์ คอมพิวเตอร์   สี่   แห่ง   คือ   กระทรวง วิทยาศาสตร์ เทคโนโลยี และ การ พลังงาน   จุฬาลงกรณ์ มหาวิทยาลัย   สถาบัน เทคโนโลยี แห่ง เอเซีย   และ สถาบัน เทคโนโลยี พระ จอมเกล้า เจ้าคุณ ทหาร ลาดกระบัง
1_82_19_4	และ ขณะเดียวกัน   ได้ วางแผน ที่จะ ขยาย ให้ ครอบคลุม ทั้งสิ้น   สิบ สาม   แห่ง   รวม ศูนย์ คอมพิวเตอร์ ของ ทบวงมหาวิทยาลัย เอง   และ มหาวิทยาลัย ใน ต่างจังหวัด   สาม   แห่ง ด้วย
1_82_19_8	เพื่อ เป็น โครงการนำร่อง ของ การ ใช้ เทคโนโลยี เครือข่าย สนับสนุน งาน ระบบ ราชการ
1_82_22_2	นอกจาก จะ ได้ ให้ความร่วมมือ ใน การ เป็น กรรมการ นโยบาย   กรรม การบริหาร   และ อนุกรรมการ ใน โครงการ ต่าง ต่าง   และ ใน ปี ที่ผ่านมา ได้ สนับสนุน ใน รูป ของ การ บริจาค อุปกรณ์ คอมพิวเตอร์ แก่ ทาง ศูนย์   ดังนี้
1_82_27_2	ใน ระยะเวลา ที่ผ่านมา ได้ ร่วมกับ ทาง ศูนย์ เทคโนโลยี โลหะ และ วัสดุ แห่งชาติ   และ ศูนย์ พันธุวิศวกรรม และ เทคโนโลยีชีวภาพ แห่งชาติ   ใน การ ส่ง นักศึกษา   จำนวน   แปด ร้อย เจ็ดสิบ หก   คน   ไป ศึกษา ต่อ ใน ต่างประเทศ
1_82_27_4	นอกจากนี้   ได้ ดำเนิน การขออนุมัติ จัด สร้าง อาคาร ศูนย์ ปฏิบัติ การวิจัย แห่งชาติ   ซึ่ง จะ ตั้งอยู่ ใน บริเวณ สำนักงานปลัดกระทรวง วิทยาศาสตร์ เทคโนโลยี และ การ พลังงาน   พญาไท   ใน ระยะแรก   และ ศูนย์ ปฏิบัติ การวิจัย แห่งชาติ   บริเวณ เทคโน ธานี รังสิต   จังหวัด ปทุมธานี   ใน ระยะ ที่สอง
1_82_29_4	ใน ระยะ   สี่   ปี ที่ผ่านมา   ประสบความสำเร็จ ทั้ง ใน การนำ ต้นแบบ ไป ผลิต   การ ให้บริการ เชิง ประสานงาน   เพื่อ เพิ่ม ผลผลิต ของ ภาคเอกชน   การ บริการ เชิง ถ่ายทอด เทคโนโลยี   ทั้ง ใน รูปแบบ ของ การอบรม   สัมมนา และ ตำรา ต่าง ต่าง
1_82_30_3	เพื่อ ดำเนินการ ต่อไป ให้ ดี ยิ่งขึ้น   โดยเฉพาะ ใน ช่วง แผน พัฒนา เศรษฐกิจ และ สังคม แห่งชาติ ฉบับ ที่ เจ็ด   ซึ่ง จะ เริ่ม จาก ตุลาคม   สอง พัน ห้า ร้อย สามสิบ สี่   นี้   จนถึง กันยายน   สอง พัน ห้า ร้อย สามสิบ เก้า
1_82_38_1	ขั้นตอน การ สนับสนุน ทุนวิจัย   ของ ศูนย์ เทคโนโลยี อิเล็กทรอนิกส์ และ คอมพิวเตอร์ แห่งชาติ   กระทรวง วิทยาศาสตร์ เทคโนโลยี และ การ พลังงาน
1_82_4_1	บทความ ประกอบ การบรรยาย   ใน การประชุม ทางวิชาการ   โครงการ วิจัยและพัฒนา อิเล็กทรอนิกส์ และ คอมพิวเตอร์   วันที่ ยี่สิบ ถึง ยี่ สิบเอ็ด   ตุลาคม   สอง พัน ห้า ร้อย สามสิบ สี่   ณ   โรง แร มอ โน มา สวิส
1_83_12_3	โครงสร้าง ของ ประโยค ความ เดียว ประกอบด้วย หน่วย นามวลี หรือ หน่วย กริยาวลี   หรือ ทั้งสอง หน่วย ประกอบ กัน
1_83_132_5	ทำให้ ต้อง แบ่งกลุ่ม คำนาม ด้วย
1_83_13_3	หน่วย คำเดี่ยว เดี่ยว   ที่มา ประกอบ กัน เป็น หน่วย กริยาวลี อาจจะ เป็น คำ หน้า กริยา   คำ ช่วย หน้า กริยา   คำ ช่วย หลัง กริยา   คำ หลัง กริยา   และ หน่วย คำขยาย อื่น อื่น   เช่น   อาจจะ ไม่ ไป ทำงาน
1_83_141_3	การศึกษา ความสัมพันธ์ ระหว่าง คำนาม กับ คำกริยา โดย   ภาณุ   สัง ธวรณ์   สามารถ นำมา ช่วย แก้ปัญหา ได้ ส่วนหนึ่ง   ตามที่ แสดง ไว้ ใน ตาราง ที่หนึ่ง
1_83_14_3	หน่วย เชื่อม ประโยค ได้แก่ คำสันธาน ที่ ใช้ เชื่อม ประโยค ความ รวม   หรือ คำ ที่ ใช้ แทน คำนาม หรือ คำกริยา   ได้แก่   ที่   ซึ่ง   อัน   เป็นต้น
1_83_14_4	ประโยค ความ ซ้อน และ ประโยค ความ รวม ที่ ไม่มี หน่วย เชื่อม นั้น   เป็นปัญหา ต่อ การ แยก โครงสร้าง ของ ประโยค
1_83_168_2	ความสามารถ แบบ ยืดหยุ่น คือ สามารถ เปิดรับ คุณสมบัติ   หรือ ความหมาย เพิ่มเติม ได้
1_83_16_5	นอกจากนี้ แล้ว   ลักษณะ การ ประกอบ กัน ของ หน่วยคำ   ก็ ทำให้เกิด ปัญหา ใน การ วิเคราะห์ โครงสร้าง ทาง ไวยากรณ์ อีก หลาย ประการ
1_83_213_1	สิ่ง ที่ โปรแกรม จะ ต้อง ทำ ต่อไป ก็ คือ อ่าน หน่วยคำ ต่อมา ของ ประโยค ซึ่ง ก็ คือ คำ ว่า   กิน
1_83_21_1	ตัวอย่าง   โต๊ะกินข้าว   เครื่องซักผ้า
1_83_26_1	ตัวอย่าง   พ่อแม่   พี่น้อง   ผัวเมีย   ปู่ย่าตายาย
1_83_274_1	หน่วยคำ ที่จะ เขียน ลง พจนานุกรม มี ได้   สอง   แบบ คือ   หนึ่ง   หน่วยคำ เดียว และ   สอง   หน่วย คำประสม
1_83_274_2	ดังนั้น คำ ว่า   เข้า   และ   เข้าใจ   หรือ   เมีย   กับ   เมียน้อย   จะ ต้อง ปรากฏ อยู่ ใน พจนานุกรม ทั้งหมด
1_83_278_1	พ่อ น้อง สอง คน ให้ หนังสือ แก่ เธอ
1_83_27_5	ซึ่ง จะ ทำให้เกิด ความกำกวม ใน การ วิเคราะห์ ขึ้น
1_83_289_2	โครงสร้าง ประโยค และ ส่วนประกอบ ที่ อธิบาย ไว้ ใน การศึกษา ครั้งนี้ ได้แก่   ประโยค ภาษาไทย ความ เดียว   ความ ซ้อน   และ ความ รวม   โครงสร้าง นามวลี   กริยาวลี และ หน่วย ขยาย เสริม
1_83_43_1	สี่ จุด สาม   หิน   กิน   ข้าว   ถูก ต้องตาม ไวยากรณ์ แต่ ความหมาย ไม่ ถูกต้อง
1_83_58_1	ประโยค ความ ซ้อน   และ ประโยค ความ รวม เกิด จาก ประโยค ความ เดียว มากกว่า หนึ่ง ประโยค มา รวมกัน
1_83_91_3	หรือ ใช้กับ ประโยค ที่ มี คำเชื่อม เช่น   ที่   ซึ่ง   อัน   เป็นต้น
1_83_97_1	งานวิจัย ด้าน การ วิเคราะห์ ประโยค ภาษาไทย ที่ ทำ มา แล้ว มี อยู่ ด้วยกัน   สี่   ชิ้น   ห้า   เจ็ด   แปด   สิบเอ็ด
1_83_97_3	งานวิจัย ที่จะ ทำ นี้   จะ พยายาม ครอบคลุม โครงสร้าง ประโยค ภาษาไทย ให้ ครบ ทั้ง โครงสร้าง ของ ประโยค   และ โครงสร้าง ของ วลี
1_85_5_1	โครงการ   นี้ เป็น การสำรวจ เชิง นโยบาย ที่ เกี่ยวกับ เทคโนโลยี ของ การประมวลผล ภาษาธรรมชาติ
1_85_5_4	เพื่อ เป็นแนว ทางใน การเสนอแนะ แนว นโยบาย   แผนแม่บท   และ แผน ปฏิบัติ สำหรับ การ กำหนด แนวทาง ส่งเสริม การวิจัย พัฒนา   ด้าน การประมวลผล ภาษาธรรมชาติ
1_85_5_6	โดย รวบรวม ข้อมูล จาก สถาน การศึกษา ภายในประเทศ   จาก การประเมิน ความต้องการ ของ ผู้ใช้งาน   ศักยภาพ ของตลาด   และ ข้อมูล แนวโน้ม ต่างประเทศ
1_86_101_1	ใน สาม อนาคต   สำนัก หอสมุด   พิจารณา โครงการ เก้า    แผนงาน แห่ง    และ ได้ งาน วางแผน หรือ ใน มีระบบ โครงการ สารนิเทศ เกี่ยวกับ ทางการ วิชาการ ของ ให้บริการ ศูนย์ประสานงาน สารนิเทศ สาขา ฐานข้อมูล   ยกเว้น   สถาบัน เทคโนโลยี พระ จอมเกล้า ธนบุรี และ ลาดกระบัง
1_86_101_2	โดย โครงการ หรือ บริการ ฐานข้อมูล ที่จะ จัด ให้ ผู้ใช้ นั้น   เป็นงาน หรือ โครง การต่อเนื่อง จาก ที่ ได้ เริ่ม และ ดำเนิน อยู่   เช่น   การ ค้น ข้อมูล จาก ฐานข้อมูล หนังสือ   ฐานข้อมูล วิจัย   และ ฐานข้อมูล เฉพาะ วิชา ที่ ได้ สร้าง ขึ้น แล้ว  ดัง ตาราง ที่สอง
1_86_102_1	สำหรับ สี่ โครงการ   สร้าง ประสาน ฐานข้อมูล งาน ใหม่   กับ คณะ อนุกรรมการ ศูนย์ประสานงาน สารนิเทศ สาขา สำนัก หอสมุด   มหาวิทยาลัยเกษตรศาสตร์   ใน ใน การ แผน พัฒนา พัฒนา ระยะ ประสิทธิภาพ ที่ 7 ของ   ระบบ สารนิเทศ ทาง สอง พัน ห้า ร้อย สามสิบ แปด   วิชาการ สอง พัน ห้า ร้อย สามสิบ เก้า   มี โครงการ ปรับเปลี่ยน ฐานะ หอสมุด วิทยาเขต กำแพง แสน ให้ เป็น ฝ่าย หอสมุด กลาง
1_86_103_1	สาม นอกจากนี้    มหาวิทยาลัยสุโขทัยธรรมาธิราช คณะกรรมการ ระบบ สารนิเทศ วิทยาศาสตร์ สากล มี โครงการ ตั้ง โดย จัดตั้ง ศูนย์ บริการ เครือข่าย บร รณา สารสนเทศ คณะรัฐมนตรี    ใน เมื่อ วัน แผน พัฒนา ระยะ ที่ 14 ที่ เจ็ด   ตุลาคม   สอง พัน ห้า ร้อย ยี่สิบ เก้า   มี
1_86_103_3	เพื่อ บริการ ฐานข้อมูล ที่ พัฒนา เอง   ฐานข้อมูล สำเร็จรูป และ ฐานข้อมูล ที่ บอ กรับ ให้ แก่ ผู้ใช้ ของ มหาวิทยาลัย   ตลอดจน ชุมชน ใน ส่วนภูมิภาค ที่ มหาวิทยาลัย รับผิดชอบ
1_86_104_1	หนึ่ง ใน แผน พัฒนาการ   พิจารณา ศึกษา เสนอแนะ ระยะ ที่ เจ็ด    และ เช่นกัน ให้คำปรึกษา หารือ   แก่ คณะกรรมการ แห่งชาติ สำนัก หอสมุด    มหาวิทยาลัยเชียงใหม่ ใน ด้าน   นโยบาย มี โครงการ   การ บริการ สารนิเทศ ดำเนินงาน
1_86_104_3	โดย มี จุดประสงค์   เพื่อ พัฒนาการ ให้บริการ สารนิเทศ ระบบ ออนไลน์   เพื่อให้ มี การ ใช้ สารนิเทศ ร่วมกัน ภายใน มหาวิทยาลัย   และ แลกเปลี่ยน กับ สถาบัน อื่น อื่น   ทั้ง ภายใน และ ต่างประเทศ
1_86_105_1	สอง สำนัก หอสมุด มหาวิทยาลัยมหิดล    มี เข้า ร่วมใน โครงการ จัดการ ระบบ วางแผน เครือข่าย สารนิเทศ   ห้องสมุด และ ใน ดำเนินงาน มหาวิทยาลัยมหิดล ทาง ด้าน ระบบ สารนิเทศ ของ องค์การ
1_86_106_1	สาม ตาราง ที่สอง    ส่งเสริม โครงการ ให้บริการ ฐานข้อมูล หน่วยราชการ ที่ และ จะ สถาบัน จัด ต่าง ต่าง   แก่ ทั้ง ผู้ใช้ ที่ เป็น ของ รัฐ   และ
